Date,Close
2010-01-04,11866.90039
2010-01-05,11888.09961
2010-01-06,11944.5
2010-01-07,11887.5
2010-01-08,11953.79981
2010-01-11,11947.09961
2010-01-12,11820.2002
2010-01-13,11853.59961
2010-01-14,11804.40039
2010-01-15,11685.40039
2010-01-18,11750.5
2010-01-19,11763.40039
2010-01-20,11679.29981
2010-01-21,11469.09961
2010-01-22,11343.40039
2010-01-25,11354.5
2010-01-26,11361.2002
2010-01-27,11344.09961
2010-01-28,11274.2002
2010-01-29,11094.29981
2010-02-01,11317.59961
2010-02-02,11408.29981
2010-02-03,11390.5
2010-02-04,11128.79981
2010-02-05,11223.09961
2010-02-08,11115.29981
2010-02-09,11274.2002
2010-02-10,11286.29981
2010-02-11,11435.5
2010-02-12,11469.79981
2010-02-16,11586.40039
2010-02-17,11635.5
2010-02-18,11694.79981
2010-02-19,11709.29981
2010-02-22,11634.79981
2010-02-23,11526.7002
2010-02-24,11521.79981
2010-02-25,11631.40039
2010-02-26,11629.59961
2010-03-01,11728.09961
2010-03-02,11828.29981
2010-03-03,11852.90039
2010-03-04,11825
2010-03-05,11975.09961
2010-03-08,11963.79981
2010-03-09,11918.7002
2010-03-10,11961.09961
2010-03-11,11979.7002
2010-03-12,12013.79981
2010-03-15,12008.79981
2010-03-16,12089.40039
2010-03-17,12100.7002
2010-03-18,12040
2010-03-19,11948
2010-03-22,11967.2002
2010-03-23,12044.5
2010-03-24,11963
2010-03-25,11958.09961
2010-03-26,11957.40039
2010-03-29,12029.7002
2010-03-30,12044.2002
2010-03-31,12037.7002
2010-04-01,12151.09961
2010-04-05,12186.40039
2010-04-06,12156.7002
2010-04-07,12110.90039
2010-04-08,12113.5
2010-04-09,12176.79981
2010-04-12,12148.7002
2010-04-13,12101.5
2010-04-14,12204.40039
2010-04-15,12211.5
2010-04-16,12070.7002
2010-04-19,12103
2010-04-20,12113.5
2010-04-21,12134.59961
2010-04-22,12160.90039
2010-04-23,12239.59961
2010-04-26,12281
2010-04-27,12146.7002
2010-04-28,12076.90039
2010-04-29,12200.29981
2010-04-30,12210.7002
2010-05-03,12196.5
2010-05-04,12030.90039
2010-05-05,11875.09961
2010-05-06,11842.40039
2010-05-07,11692.40039
2010-05-10,11947.90039
2010-05-11,12000.59961
2010-05-12,12196
2010-05-13,12116.59961
2010-05-14,12015
2010-05-17,11813
2010-05-18,11764.5
2010-05-19,11665.79981
2010-05-20,11406
2010-05-21,11521.40039
2010-05-25,11518.09961
2010-05-26,11543.90039
2010-05-27,11749.09961
2010-05-28,11671.40039
2010-05-31,11763
2010-06-01,11572
2010-06-02,11780.7002
2010-06-03,11811.90039
2010-06-04,11569.59961
2010-06-07,11504.7002
2010-06-08,11517.2002
2010-06-09,11450.59961
2010-06-10,11635.90039
2010-06-11,11666.90039
2010-06-14,11667.29981
2010-06-15,11907.5
2010-06-16,11921.09961
2010-06-17,11946
2010-06-18,11927.59961
2010-06-21,11936.09961
2010-06-22,11797.90039
2010-06-23,11807.5
2010-06-24,11670.2002
2010-06-25,11707.90039
2010-06-28,11607
2010-06-29,11263.79981
2010-06-30,11294.40039
2010-07-02,11196.09961
2010-07-05,11092.5
2010-07-06,11200.2002
2010-07-07,11397.29981
2010-07-08,11433.40039
2010-07-09,11570.5
2010-07-12,11565.79981
2010-07-13,11672.79981
2010-07-14,11620.2002
2010-07-15,11741.79981
2010-07-16,11569.7002
2010-07-19,11543.5
2010-07-20,11629.90039
2010-07-21,11513.29981
2010-07-22,11667.79981
2010-07-23,11714.2002
2010-07-26,11746.09961
2010-07-27,11716.7002
2010-07-28,11696.59961
2010-07-29,11728.59961
2010-07-30,11713.40039
2010-08-03,11782.59961
2010-08-04,11845.09961
2010-08-05,11774.79981
2010-08-06,11800
2010-08-09,11863.59961
2010-08-10,11838.29981
2010-08-11,11582.2002
2010-08-12,11523.59961
2010-08-13,11528.29981
2010-08-16,11552.79981
2010-08-17,11728.59961
2010-08-18,11781.09961
2010-08-19,11710.2002
2010-08-20,11722.09961
2010-08-23,11718.59961
2010-08-24,11557.40039
2010-08-25,11648.09961
2010-08-26,11653.2002
2010-08-27,11879.7002
2010-08-30,11895.59961
2010-08-31,11913.90039
2010-09-01,12003.79981
2010-09-02,12111.09961
2010-09-03,12144.90039
2010-09-07,12102
2010-09-08,12042.29981
2010-09-09,12033.5
2010-09-10,12097.09961
2010-09-13,12149.90039
2010-09-14,12193
2010-09-15,12144.79981
2010-09-16,12173.40039
2010-09-17,12164.59961
2010-09-20,12234.5
2010-09-21,12170.59961
2010-09-22,12147.29981
2010-09-23,12101.79981
2010-09-24,12204.90039
2010-09-27,12190.59961
2010-09-28,12278.90039
2010-09-29,12382.79981
2010-09-30,12368.7002
2010-10-01,12363.09961
2010-10-04,12322.90039
2010-10-05,12498
2010-10-06,12501.7002
2010-10-07,12445.90039
2010-10-08,12535.59961
2010-10-12,12575.59961
2010-10-13,12673.29981
2010-10-14,12619.7002
2010-10-15,12609.09961
2010-10-18,12668
2010-10-19,12570.59961
2010-10-20,12649.90039
2010-10-21,12599.2002
2010-10-22,12601.2002
2010-10-25,12663.59961
2010-10-26,12684.7002
2010-10-27,12567.29981
2010-10-28,12564.09961
2010-10-29,12676.2002
2010-11-01,12664.79981
2010-11-02,12681.40039
2010-11-03,12671.09961
2010-11-04,12878.79981
2010-11-05,12925.09961
2010-11-08,13052.5
2010-11-09,12916.59961
2010-11-10,12942.59961
2010-11-11,12934.7002
2010-11-12,12749.2002
2010-11-15,12735.40039
2010-11-16,12602.2002
2010-11-17,12657.79981
2010-11-18,12870
2010-11-19,12956.29981
2010-11-22,12929
2010-11-23,12793.79981
2010-11-24,12902
2010-11-25,12945.79981
2010-11-26,12892.7002
2010-11-29,12895.7002
2010-11-30,12952.90039
2010-12-01,13148.40039
2010-12-02,13163.5
2010-12-03,13179
2010-12-06,13276
2010-12-07,13250.7002
2010-12-08,13152
2010-12-09,13166.90039
2010-12-10,13239.5
2010-12-13,13295.90039
2010-12-14,13280.09961
2010-12-15,13229.09961
2010-12-16,13181.2002
2010-12-17,13201.5
2010-12-20,13193.29981
2010-12-21,13365.2002
2010-12-22,13380.7002
2010-12-23,13371.2002
2010-12-24,13383.2002
2010-12-29,13449.2002
2010-12-30,13434.40039
2010-12-31,13443.2002
2011-01-04,13402.29981
2011-01-05,13396
2011-01-06,13311.7002
2011-01-07,13272.29981
2011-01-10,13245.09961
2011-01-11,13401.09961
2011-01-12,13460.2002
2011-01-13,13401.5
2011-01-14,13464.09961
2011-01-17,13440.09961
2011-01-18,13559.2002
2011-01-19,13439
2011-01-20,13331.29981
2011-01-21,13258.59961
2011-01-24,13347.59961
2011-01-25,13259.59961
2011-01-26,13465.79981
2011-01-27,13410.2002
2011-01-28,13437.59961
2011-01-31,13552
2011-02-01,13712.59961
2011-02-02,13680.29981
2011-02-03,13841.40039
2011-02-04,13791.90039
2011-02-07,13811.90039
2011-02-08,13892.5
2011-02-09,13784.29981
2011-02-10,13840.59961
2011-02-11,13766.79981
